team,away n,Away Score Mean,total home points,home n,Home Score Mean,total away points,total games,combined mean,rounded mean
49ers,144,18.9,2721.6,143,21.9,3131.7,287,20.39477352,20.39
Bears,139,19.3,2682.7,145,22.2,3219,284,20.7806338,20.78
Bengals,143,20.4,2917.2,142,22.6,3209.2,285,21.49614035,21.5
Bills,140,18.4,2576,138,21.6,2980.8,278,19.98848921,19.99
Broncos,142,22,3124,150,24.5,3675,292,23.28424658,23.28
Browns,140,17.4,2436,139,17.8,2474.2,279,17.59928315,17.6
Buccaneers,139,19.9,2766.1,143,20.4,2917.2,282,20.1535461,20.15
Cardinals,142,19.1,2712.2,145,22.2,3219,287,20.66620209,20.67
Chargers,145,23.5,3407.5,145,25.7,3726.5,290,24.6,24.6
Chiefs,143,22.6,3231.8,145,24.2,3509,288,23.40555556,23.41
Colts,152,23.8,3617.6,150,25.4,3810,302,24.59470199,24.59
Cowboys,143,20.7,2960.1,144,24.7,3556.8,287,22.70696864,22.71
Dolphins,138,18.3,2525.4,141,20.7,2918.7,279,19.51290323,19.51
Eagles,147,24,3528,151,24.6,3714.6,298,24.30402685,24.3
Falcons,147,21.3,3131.1,144,25,3600,291,23.13092784,23.13
Giants,149,22,3278,142,22.4,3180.8,291,22.195189,22.2
Jaguars,144,18.9,2721.6,140,20.2,2828,284,19.54084507,19.54
Jets,148,18.3,2708.4,140,21.6,3024,288,19.90416667,19.9
Lions,142,19.3,2740.6,138,22.5,3105,280,20.87714286,20.88
Packers,149,24.6,3665.4,151,26.6,4016.6,300,25.60666667,25.61
Panthers,147,22,3234,145,21.7,3146.5,292,21.8510274,21.85
Patriots,150,27.5,4125,165,28.8,4752,315,28.18095238,28.18
Raiders,140,18,2520,141,20.8,2932.8,281,19.40498221,19.4
Rams,142,18,2556,143,22.2,3174.6,285,20.10736842,20.11
Ravens,152,20.5,3116,144,24.2,3484.8,296,22.3,22.3
Commanders,142,19.3,2740.6,140,20.2,2828,282,19.74680851,19.75
Saints,146,24.7,3606.2,146,28,4088,292,26.35,26.35
Seahawks,151,21.3,3216.3,151,25.6,3865.6,302,23.45,23.45
Steelers,150,21.4,3210,150,26,3900,300,23.7,23.7
Texans,142,19.2,2726.4,144,22.3,3211.2,286,20.76083916,20.76
Titans,146,19.7,2876.2,140,22.2,3108,286,20.92377622,20.92
Vikings,144,20.9,3009.6,143,24.4,3489.2,287,22.64390244,22.64
